city,family,species,coll.-no.,Age,hfl,hct,hcl,hpt,hpl,hdt,hdl,rfl,rpt,rpl,rdt,rdl,mc7fl,mc7pt,mc7pl,mc7dt,mc7dl,ffl,fct,fcl,fpt,fpl,fdt,fdl,tfl,tpt,tpl,tdt,tdl,mt7fl,mt7pt,mt7pl,mt7dt,mt7dl
S,Bovidae,Gorgon taurinus,2947,,221.07,57.18,44.92,74.66,80.30,55.56,51.97,328.80,53.88,29.07,51.22,33.95,242.37,45.38,27.61,51.21,27.76,287.41,32.07,33.39,91.89,44.49,74.42,98.32,335.40,76.64,52.46,47.49,37.49,262.79,38.86,37.05,45.63,27.69
S,Bovidae,Gorgon taurinus,4442,,237.33,61.53,59.31,74.63,82.94,58.63,59.42,320.55,60.07,32.80,61.20,33.87,236.86,45.84,28.02,52.11,30.99,296.32,37.76,37.83,103.14,45.50,79.31,107.68,336.10,83.17,56.70,48.11,38.79,251.39,38.48,41.51,47.46,29.96
M,Bovidae,Hemitragus jayakari,1,,153.03,,,,,31.27,23.71,171.07,29.37,16.68,,,111.63,24.54,17.73,25.31,15.52,186.47,,,,,,,213.82,40.42,,,,113.12,20.11,18.67,24.14,15.32
S,Bovidae,Kobus ellipsiprymnus,4443,,225.54,59.55,53.53,76.28,81.86,56.84,54.15,259.98,55.70,30.17,50.77,32.48,230.35,42.88,28.40,45.65,28.98,322.55,36.65,39.33,99.79,49.17,79.75,99.50,335.60,79.19,63.43,49.55,36.06,226.15,38.08,38.91,45.33,30.12
S,Bovidae,Kobus ellipsiprymnus,4466,,233.90,59.00,55.42,80.55,84.72,60.36,54.70,267.77,56.57,32.38,51.94,34.30,231.46,44.52,27.68,46.96,27.81,319.85,37.44,37.22,91.75,42.21,78.91,96.63,345.40,80.23,56.05,45.21,37.75,231.48,40.61,40.19,46.83,28.77
Tü,Bovidae,Kobus ellipsiprymnus defassa,SZ 4140,,230.65,52.05,48.28,76.27,84.66,62.61,53.08,250.91,59.83,31.03,49.47,32.12,223.37,43.13,27.67,48.59,27.23,309.93,40.06,33.95,88.30,43.75,79.57,93.51,310.93,82.23,53.38,51.56,38.56,220.28,38.92,36.98,45.85,28.80
S,Bovidae,Litocranius walleri,4436,,152.35,32.54,30.14,40.58,43.47,31.52,28.97,212.97,28.49,17.97,27.48,21.27,270.09,25.28,16.86,21.17,19.35,202.98,21.37,20.77,52.28,22.56,41.61,57.47,253.92,44.29,33.16,26.63,21.75,245.32,23.07,25.65,23.57,20.09
S,Bovidae,Litocranius walleri,4437,,152.44,33.64,30.65,39.80,42.06,31.57,29.64,220.29,27.92,19.33,25.50,21.13,262.76,24.82,17.25,21.13,18.93,199.49,20.83,22.15,52.31,23.75,42.33,57.58,252.61,44.83,31.17,27.68,21.60,239.00,24.10,24.73,23.88,20.00
F,Bovidae,Madaqua saltiana,SMF 1475,,75.20,,,,,13.70,10.84,83.86,11.52,6.85,,,81.43,9.84,7.51,9.81,6.34,98.36,,,,,,,128.06,19.63,,,,96.95,10.20,9.95,11.85,8.21
F,Bovidae,Madoqua saltiana,SMF 1474,,77.79,,,,,13.91,10.83,91.04,12.75,8.14,,,83.49,10.94,8.32,10.57,7.50,99.52,,,,,,,132.40,22.08,,,,103.22,11.27,12.64,12.26,9.34
Tü,Bovidae,Oreamnos americanus,SZ 6662,,195.31,38.23,32.38,46.31,60.35,41.46,38.98,187.72,40.33,23.75,40.13,28.58,108.17,36.78,22.68,41.88,21.30,228.61,31.99,28.71,56.00,28.45,53.92,56.41,240.82,55.35,32.16,34.83,29.73,116.07,32.11,26.93,39.26,20.76
Tü,Bovidae,Oreotragus oreotragus,SZ 4350,,106.20,18.97,16.56,23.38,28.23,19.52,15.82,99.47,18.69,9.55,18.90,12.48,86.46,16.03,10.54,18.00,11.43,133.73,16.42,14.39,30.16,14.49,24.40,29.39,152.74,28.98,17.46,18.29,13.46,93.21,15.77,13.18,17.74,11.73
Tü,Bovidae,Oryx gazella beisa,Mamm 336,juvenile,169.25,40.64,39.13,49.78,58.22,42.64,38.04,230.95,42.76,23.06,39.17,30.03,218.74,30.61,22.98,35.72,23.29,228.66,28.43,26.11,59.98,29.78,50.98,71.52,267.36,75.25,43.07,36.66,30.56,226.97,29.08,29.18,35.11,22.14
Tü,Bovidae,Oryx gazella,SZ 4370,juvenile,153.49,33.94,32.40,41.91,56.61,50.17,38.27,190.18,45.68,24.57,43.82,33.33,180.33,36.44,24.62,35.80,23.06,201.60,33.60,28.41,60.98,29.35,55.12,74.79,214.28,57.54,40.24,38.55,31.05,194.96,34.90,31.90,35.02,23.13
S,Bovidae,Oryx gazella callotis,4447,,217.40,54.56,55.04,72.90,79.52,56.00,52.23,281.58,56.84,30.79,48.12,31.06,227.78,44.32,26.99,44.50,27.50,296.68,38.22,38.24,95.92,44.74,75.52,95.08,310.55,79.92,52.57,46.32,38.42,240.79,38.18,38.43,42.87,27.18
Tü,Bovidae,Ovibus moschatus,Mamm 2019,,246.56,51.79,48.97,84.54,84.94,69.86,52.75,257.67,67.66,34.40,65.47,47.65,146.90,51.79,38.63,61.95,29.75,304.80,36.80,39.99,93.01,51.70,77.48,89.28,272.00,76.91,50.38,54.37,36.13,150.28,42.25,38.93,55.25,28.49
Tü,Bovidae,Ovis ammon aries,Mamm 366,,124.98,31.03,28.51,37.01,42.94,28.20,25.51,152.03,30.32,17.76,26.88,21.56,118.43,23.80,17.65,26.33,16.19,168.09,23.69,20.98,42.26,29.99,23.28,42.53,202.78,41.25,27.63,28.36,21.18,131.41,21.99,21.40,25.11,16.31
Tü,Bovidae,Ovis ammon dalli,SZ 9480,,184.28,38.23,36.35,51.12,59.24,40.30,30.90,208.68,40.98,20.00,38.41,25.15,174.93,32.13,22.17,33.79,21.30,246.25,30.17,26.16,57.73,29.86,49.38,58.78,286.64,53.91,35.16,35.52,26.02,195.72,27.14,25.01,31.47,22.01
Tü,Bovidae,Ovis musimon,SZ 7691,,127.85,26.03,25.26,33.71,35.48,27.53,22.00,134.78,26.07,14.68,25.60,19.02,99.18,21.87,15.44,25.04,14.98,161.21,21.18,19.38,39.50,25.30,36.23,40.29,189.80,38.98,23.94,22.46,19.50,107.81,17.46,16.21,22.45,14.29
M,Bovidae,Pelea capreolus,1,,130.84,,,,,27.51,23.36,170.40,25.14,15.20,,,177.80,20.64,15.09,19.82,14.86,183.52,,,,,,,228.95,39.82,,,,183.50,20.27,21.46,20.95,16.04
S,Bovidae,Rhynchotragus kirkii thomasi,4430,,83.54,15.39,14.02,18.68,21.55,14.94,12.83,93.15,13.78,8.39,13.10,8.69,97.34,11.91,8.41,10.92,8.74,109.60,12.03,11.75,24.07,11.84,22.34,25.94,135.66,23.14,16.71,13.72,10.47,106.49,11.34,12.06,12.42,10.11
S,Bovidae,Rhynchotragus kirkii thomasi,4431,,85.78,14.05,13.87,16.76,22.21,13.58,11.69,94.26,13.02,7.74,11.14,7.82,94.17,10.97,7.94,11.20,8.07,114.32,10.43,11.49,24.05,11.56,21.22,27.27,141.15,22.48,15.90,13.28,10.73,104.96,11.24,12.93,12.27,9.60
Tü,Bovidae,Rupicapra rupicapra,Mamm 354,juvenile,162.95,27.21,25.38,38.20,44.38,32.83,26.50,174.31,29.52,16.62,28.83,21.88,147.80,25.57,17.34,30.09,17.57,199.09,25.11,22.16,46.53,22.13,40.32,46.01,245.06,44.70,28.92,28.22,21.38,166.33,23.41,22.37,30.51,18.81
S,Bovidae,Saiga tatarica,7596,,150.00,36.75,34.29,46.17,51.51,33.84,29.25,184.03,32.47,17.84,30.48,16.47,164.95,27.81,16.75,26.48,17.67,197.64,24.73,23.33,57.97,23.56,41.44,56.27,222.02,43.88,30.45,25.75,22.80,185.43,22.78,26.94,25.38,17.65
Tü,Bovidae,Sylvicapra grimmia,Mamm 298,juvenile,68.83,10.87,9.43,11.54,16.37,16.19,13.15,78.17,14.39,10.11,16.01,12.22,94.56,14.43,10.61,14.20,9.81,87.11,10.52,9.67,17.53,9.96,21.12,24.01,104.14,19.96,13.14,16.69,13.27,106.68,14.33,13.91,15.52,9.69
S,Bovidae,Tetracerus quadricornis,16929,,122.13,25.20,18.43,31.89,32.05,25.03,23.22,139.20,22.35,13.50,22.28,13.15,144.71,20.51,13.35,23.31,13.98,173.63,19.13,17.59,40.95,19.46,31.63,41.00,199.59,36.40,25.82,21.82,18.90,151.35,19.12,19.09,18.84,14.28
Tü,Bovidae,Tragelaphus angasi,SZ 6595,,181.21,34.79,37.08,51.14,60.68,39.95,39.52,212.78,40.02,21.13,34.55,29.09,213.45,30.82,21.59,26.00,21.52,249.78,34.21,28.02,59.16,31.12,52.76,68.72,279.52,58.23,38.72,35.72,25.73,224.21,29.45,30.85,26.98,21.51
Tü,Bovidae,Tragelaphus angasi,SZ 4125,,173.27,38.42,36.22,47.67,56.36,39.51,41.70,190.85,39.77,21.43,34.37,28.21,206.81,28.63,21.11,27.76,22.02,238.58,33.71,27.07,57.89,30.48,52.02,71.36,269.45,56.32,38.11,34.10,28.24,217.11,29.06,30.02,29.75,22.11
Tü,Bovidae,Tragelaphus euryceros,SZ 6507,juvenile,155.14,33.41,29.58,33.99,50.49,42.61,39.40,149.76,36.44,21.74,38.36,32.17,144.20,37.02,24.86,34.66,22.89,202.48,28.46,26.40,53.40,31.39,58.36,68.09,210.75,59.60,39.91,44.28,35.34,157.92,36.97,32.05,36.74,24.55
Tü,Bovidae,Tragelaphus imberbis,SZ 4308,juvenile,153.24,34.51,29.64,42.01,51.27,37.35,39.87,190.98,35.16,21.15,33.40,30.45,211.71,29.51,21.99,26.97,20.52,213.45,29.49,25.67,51.26,31.86,49.37,66.23,240.96,53.41,38.34,35.43,27.08,215.61,28.98,29.24,29.59,23.18
Tü,Bovidae,Tragelaphus imberbis,SZ 6554,,184.43,38.39,39.74,59.41,61.72,46.36,41.36,238.63,42.53,20.17,40.26,28.30,252.86,35.53,25.85,29.17,23.36,257.72,31.99,28.11,67.28,33.18,55.24,74.97,287.40,60.15,38.39,36.58,31.40,260.66,34.06,32.97,30.87,23.96
Tü,Bovidae,Tragelaphus imberbis,SZ 7997,,180.69,37.68,37.58,50.04,55.80,40.55,38.65,235.71,39.37,18.55,34.11,25.65,245.93,29.95,22.15,25.92,21.02,250.58,30.59,26.41,58.58,29.17,51.19,67.89,283.69,57.77,38.66,37.96,29.04,246.16,28.19,29.79,27.58,22.51
Tü,Bovidae,Tragelaphus strepsiceros,SZ 4006,,280.11,68.12,66.64,93.91,105.65,68.06,64.86,325.30,66.33,33.40,61.53,44.42,317.40,50.93,34.75,45.14,36.81,356.55,55.04,44.90,100.92,55.45,85.70,109.04,392.15,86.40,59.90,56.39,51.00,320.15,41.95,46.15,46.21,34.38
Tü,Camelidae,Camelus bactrianus,SZ 6728,,439.90,83.05,81.86,129.58,133.84,104.46,97.71,501.35,98.10,58.42,104.54,62.06,340.50,82.72,48.00,104.01,47.53,545.00,61.99,62.47,149.74,64.60,120.48,122.37,437.70,128.71,74.31,83.40,56.48,342.50,66.13,52.47,91.85,42.59
Tü,Camelidae,Camelus dromedarius,Mamm 361,,419.60,86.31,86.34,126.36,133.71,93.53,93.58,516.10,102.47,60.15,106.17,69.95,361.40,78.13,53.03,98.17,45.87,542.25,56.35,57.21,137.46,63.56,124.62,131.99,448.45,132.17,78.43,85.49,52.82,356.45,66.71,52.35,85.25,44.61
Tü,Camelidae,Lama guanicoe,Mamm 364,,238.89,43.82,42.30,63.72,74.21,52.97,33.95,293.33,46.16,28.82,43.27,37.25,239.10,37.04,23.36,44.76,25.11,327.70,28.87,30.21,67.14,32.91,61.84,62.47,320.85,64.11,43.77,46.78,30.00,238.88,34.99,29.52,41.52,22.68
Tü,Camelidae,Lama pacos,Mamm 2724,,169.15,35.62,34.44,46.61,47.66,37.24,31.71,205.05,32.56,22.86,36.21,28.32,183.12,27.90,19.60,33.70,20.13,230.85,28.06,25.38,54.77,26.32,44.40,50.94,223.75,47.05,33.95,34.70,25.62,181.53,26.67,25.60,33.13,18.78
Tü,Cervidae,Alces alces,Mamm 1250,,324.90,70.74,58.90,84.43,97.37,72.18,74.11,383.75,66.16,39.60,68.09,53.74,322.95,52.85,36.52,58.26,30.33,377.00,45.10,42.91,101.95,48.67,93.04,108.45,433.90,93.50,60.40,64.11,51.66,368.90,44.75,48.25,59.51,40.09
Tü,Cervidae,Alces alces,SZ 6484,juvenile,336.20,71.60,61.31,92.62,106.79,80.51,80.69,387.60,77.13,44.77,80.83,59.19,332.20,60.27,41.41,63.93,41.01,392.60,54.73,49.02,115.92,53.37,99.57,113.04,445.30,104.90,72.19,72.59,59.52,382.60,53.56,55.22,68.66,43.83
S,Cervidae,Alces alces,7339,,386.55,81.71,73.99,110.15,123.25,80.28,84.86,432.45,79.17,46.86,74.86,53.35,347.50,62.97,38.32,69.24,41.96,446.05,55.37,55.14,130.90,63.85,113.35,135.77,495.05,114.83,69.95,70.30,54.18,411.60,57.71,53.59,71.07,46.14
S,Cervidae,Alces alces,38697,,345.85,73.00,60.39,94.67,106.94,76.09,75.44,383.10,74.81,44.33,70.15,46.31,329.10,58.22,38.82,64.44,39.08,422.70,48.09,48.96,121.86,60.89,97.52,116.06,455.60,101.87,65.41,64.49,50.82,389.30,51.39,52.47,64.12,42.53
S,Cervidae,Alces alces,38698,,364.75,80.29,69.84,102.88,120.24,78.85,81.68,396.00,75.93,45.44,76.60,49.66,334.70,59.01,38.04,66.84,41.51,412.30,47.49,47.14,115.86,64.19,97.45,118.96,464.05,106.97,68.06,65.69,52.90,385.50,51.63,56.32,67.27,44.18
Tü,Cervidae,Axis axis,Mamm 342,juvenile,159.92,34.50,31.77,45.03,51.42,39.37,36.62,177.11,35.95,19.34,34.16,25.59,174.22,26.87,19.62,28.80,18.44,220.10,30.81,24.04,52.04,27.90,49.01,63.25,244.49,49.86,34.17,31.38,26.88,186.86,25.24,26.08,29.13,18.76
Tü,Cervidae,Axis axis,Mamm 278,juvenile,101.60,18.87,17.49,26.57,23.66,25.81,22.58,103.80,21.53,13.53,24.14,18.08,114.65,20.53,14.61,20.31,14.35,133.14,16.66,16.01,30.83,16.11,34.32,42.27,147.61,35.23,24.51,25.53,19.08,121.95,19.71,19.86,21.70,14.18
S,Cervidae,Axis axis,7603,,194.88,42.04,40.23,55.95,58.58,38.86,40.27,207.01,36.53,21.15,35.33,25.08,188.57,30.06,21.96,30.22,18.84,257.13,26.38,27.42,64.20,32.37,52.46,70.69,280.41,55.60,37.47,32.52,26.36,208.84,27.15,30.87,30.56,19.28
Tü,Cervidae,Capreolus capreolus,Mamm 356,,145.91,25.18,23.03,30.64,37.07,26.31,25.37,163.18,24.68,14.25,24.24,16.98,147.74,20.09,15.30,19.82,13.60,185.30,24.40,19.03,41.49,19.66,38.10,45.27,216.53,41.20,25.39,25.22,19.67,179.77,19.18,20.35,21.59,15.96
Tü,Cervidae,Capreolus capreolus,SZ 7732,,136.80,26.84,23.97,31.05,35.86,26.91,24.12,156.54,24.75,13.79,25.66,15.70,151.40,20.48,15.97,20.83,13.32,173.01,23.98,18.60,38.19,19.88,37.29,48.13,216.94,40.53,27.29,26.34,20.05,184.95,19.94,19.31,22.86,15.16
Tü,Cervidae,Capreolus capreolus,Mamm 355,,146.97,25.95,24.33,32.15,38.19,27.89,25.66,172.05,25.65,14.39,24.91,18.36,163.06,21.44,14.91,20.00,12.80,188.77,25.12,19.19,42.55,19.78,39.10,46.89,232.66,41.38,25.80,27.65,20.01,195.24,20.44,19.73,22.83,13.16
S,Cervidae,Capreolus capreolus,46277,,146.49,26.65,24.15,32.68,37.33,26.19,24.69,163.93,23.76,13.97,21.53,16.83,151.72,18.82,12.77,19.97,12.83,183.44,18.45,19.33,42.46,20.18,38.22,47.20,229.11,38.59,25.24,24.40,19.86,182.76,18.03,19.00,21.60,14.36
M,Cervidae,Cervus canadensis,4,,271.50,,,,,61.36,60.66,298.32,58.52,33.41,,,275.90,46.71,31.74,49.17,32.88,340.78,,,,,,,370.71,87.59,,,,307.23,43.94,41.62,49.76,33.50
Tü,Cervidae,Cervus elaphus,Mamm 337,juvenile,229.99,55.53,47.47,67.76,77.90,53.96,51.56,257.38,52.81,27.99,47.41,37.36,240.26,39.03,38.39,39.12,25.94,288.50,38.72,33.24,82.15,35.30,68.82,85.42,327.80,71.40,47.60,43.89,35.14,272.81,33.54,37.17,39.17,27.39
